001  00119 |Loss: 1.915 | Acc: 28.000% 
001  00120 |Loss: 1.913 | Acc: 28.000% 
001  00121 |Loss: 1.911 | Acc: 28.000% 
001  00122 |Loss: 1.910 | Acc: 28.000% 
001  00123 |Loss: 1.909 | Acc: 28.000% 
001  00124 |Loss: 1.908 | Acc: 28.000% 
001  00125 |Loss: 1.905 | Acc: 28.000% 
001  00126 |Loss: 1.903 | Acc: 28.000% 
001  00127 |Loss: 1.902 | Acc: 28.000% 
001  00128 |Loss: 1.900 | Acc: 28.000% 
001  00129 |Loss: 1.897 | Acc: 28.000% 
001  00130 |Loss: 1.896 | Acc: 28.000% 
001  00131 |Loss: 1.895 | Acc: 28.000% 
001  00132 |Loss: 1.893 | Acc: 28.000% 
001  00133 |Loss: 1.890 | Acc: 29.000% 
001  00134 |Loss: 1.888 | Acc: 29.000% 
001  00135 |Loss: 1.887 | Acc: 29.000% 
001  00136 |Loss: 1.885 | Acc: 29.000% 
001  00137 |Loss: 1.886 | Acc: 29.000% 
001  00138 |Loss: 1.884 | Acc: 29.000% 
001  00139 |Loss: 1.883 | Acc: 29.000% 
001  00140 |Loss: 1.881 | Acc: 29.000% 
001  00141 |Loss: 1.881 | Acc: 29.000% 
001  00142 |Loss: 1.880 | Acc: 29.000% 
001  00143 |Loss: 1.878 | Acc: 29.000% 
001  00144 |Loss: 1.876 | Acc: 29.000% 
001  00145 |Loss: 1.875 | Acc: 29.000% 
001  00146 |Loss: 1.873 | Acc: 29.000% 
001  00147 |Loss: 1.872 | Acc: 29.000% 
001  00148 |Loss: 1.871 | Acc: 29.000% 
001  00149 |Loss: 1.869 | Acc: 29.000% 
001  00150 |Loss: 1.867 | Acc: 29.000% 
001  00151 |Loss: 1.865 | Acc: 29.000% 
001  00152 |Loss: 1.863 | Acc: 30.000% 
001  00153 |Loss: 1.862 | Acc: 30.000% 
001  00154 |Loss: 1.859 | Acc: 30.000% 
001  00155 |Loss: 1.857 | Acc: 30.000% 
001  00156 |Loss: 1.856 | Acc: 30.000% 
001  00157 |Loss: 1.853 | Acc: 30.000% 
001  00158 |Loss: 1.852 | Acc: 30.000% 
001  00159 |Loss: 1.851 | Acc: 30.000% 
001  00160 |Loss: 1.849 | Acc: 30.000% 
001  00161 |Loss: 1.847 | Acc: 30.000% 
001  00162 |Loss: 1.846 | Acc: 30.000% 
001  00163 |Loss: 1.844 | Acc: 30.000% 
001  00164 |Loss: 1.842 | Acc: 30.000% 
001  00165 |Loss: 1.840 | Acc: 30.000% 
001  00166 |Loss: 1.840 | Acc: 30.000% 
001  00167 |Loss: 1.838 | Acc: 30.000% 
001  00168 |Loss: 1.836 | Acc: 31.000% 
001  00169 |Loss: 1.834 | Acc: 31.000% 
001  00170 |Loss: 1.832 | Acc: 31.000% 
001  00171 |Loss: 1.830 | Acc: 31.000% 
001  00172 |Loss: 1.829 | Acc: 31.000% 
001  00173 |Loss: 1.828 | Acc: 31.000% 
001  00174 |Loss: 1.828 | Acc: 31.000% 
001  00175 |Loss: 1.826 | Acc: 31.000% 
001  00176 |Loss: 1.825 | Acc: 31.000% 
001  00177 |Loss: 1.824 | Acc: 31.000% 
001  00178 |Loss: 1.823 | Acc: 31.000% 
001  00179 |Loss: 1.822 | Acc: 31.000% 
001  00180 |Loss: 1.820 | Acc: 31.000% 
001  00181 |Loss: 1.819 | Acc: 31.000% 
001  00182 |Loss: 1.817 | Acc: 31.000% 
001  00183 |Loss: 1.816 | Acc: 31.000% 
001  00184 |Loss: 1.815 | Acc: 31.000% 
001  00185 |Loss: 1.815 | Acc: 31.000% 
001  00186 |Loss: 1.813 | Acc: 31.000% 
001  00187 |Loss: 1.812 | Acc: 31.000% 
001  00188 |Loss: 1.811 | Acc: 31.000% 
001  00189 |Loss: 1.810 | Acc: 32.000% 
001  00190 |Loss: 1.808 | Acc: 32.000% 
001  00191 |Loss: 1.806 | Acc: 32.000% 
001  00192 |Loss: 1.806 | Acc: 32.000% 
001  00193 |Loss: 1.805 | Acc: 32.000% 
001  00194 |Loss: 1.803 | Acc: 32.000% 
001  00195 |Loss: 1.802 | Acc: 32.000% 
001  00196 |Loss: 1.800 | Acc: 32.000% 
001  00197 |Loss: 1.799 | Acc: 32.000% 
001  00198 |Loss: 1.798 | Acc: 32.000% 
001  00199 |Loss: 1.796 | Acc: 32.000% 
001  00200 |Loss: 1.795 | Acc: 32.000% 
001  00201 |Loss: 1.794 | Acc: 32.000% 
001  00202 |Loss: 1.794 | Acc: 32.000% 
001  00203 |Loss: 1.794 | Acc: 32.000% 
001  00204 |Loss: 1.793 | Acc: 32.000% 
001  00205 |Loss: 1.791 | Acc: 32.000% 
001  00206 |Loss: 1.790 | Acc: 32.000% 
001  00207 |Loss: 1.789 | Acc: 32.000% 
001  00208 |Loss: 1.788 | Acc: 32.000% 
001  00209 |Loss: 1.787 | Acc: 32.000% 
001  00210 |Loss: 1.785 | Acc: 32.000% 
001  00211 |Loss: 1.785 | Acc: 32.000% 
001  00212 |Loss: 1.783 | Acc: 32.000% 
001  00213 |Loss: 1.783 | Acc: 32.000% 
001  00214 |Loss: 1.781 | Acc: 33.000% 
001  00215 |Loss: 1.780 | Acc: 33.000% 
001  00216 |Loss: 1.778 | Acc: 33.000% 
001  00217 |Loss: 1.777 | Acc: 33.000% 
001  00218 |Loss: 1.776 | Acc: 33.000% 
001  00219 |Loss: 1.775 | Acc: 33.000% 
001  00220 |Loss: 1.774 | Acc: 33.000% 
001  00221 |Loss: 1.772 | Acc: 33.000% 
001  00222 |Loss: 1.771 | Acc: 33.000% 
001  00223 |Loss: 1.771 | Acc: 33.000% 
001  00224 |Loss: 1.770 | Acc: 33.000% 
001  00225 |Loss: 1.769 | Acc: 33.000% 
001  00226 |Loss: 1.768 | Acc: 33.000% 
001  00227 |Loss: 1.766 | Acc: 33.000% 
001  00228 |Loss: 1.765 | Acc: 33.000% 
001  00229 |Loss: 1.764 | Acc: 33.000% 
001  00230 |Loss: 1.763 | Acc: 33.000% 
001  00231 |Loss: 1.762 | Acc: 33.000% 
001  00232 |Loss: 1.760 | Acc: 33.000% 
001  00233 |Loss: 1.758 | Acc: 33.000% 
001  00234 |Loss: 1.757 | Acc: 33.000% 
001  00235 |Loss: 1.755 | Acc: 34.000% 
001  00236 |Loss: 1.754 | Acc: 34.000% 
001  00237 |Loss: 1.753 | Acc: 34.000% 
001  00238 |Loss: 1.752 | Acc: 34.000% 
001  00239 |Loss: 1.752 | Acc: 34.000% 
001  00240 |Loss: 1.751 | Acc: 34.000% 
001  00241 |Loss: 1.750 | Acc: 34.000% 
001  00242 |Loss: 1.750 | Acc: 34.000% 
001  00243 |Loss: 1.748 | Acc: 34.000% 
001  00244 |Loss: 1.747 | Acc: 34.000% 
001  00245 |Loss: 1.746 | Acc: 34.000% 
001  00246 |Loss: 1.745 | Acc: 34.000% 
001  00247 |Loss: 1.744 | Acc: 34.000% 
001  00248 |Loss: 1.743 | Acc: 34.000% 
001  00249 |Loss: 1.742 | Acc: 34.000% 
001  00250 |Loss: 1.741 | Acc: 34.000% 
001  00251 |Loss: 1.739 | Acc: 34.000% 
001  00252 |Loss: 1.738 | Acc: 34.000% 
001  00253 |Loss: 1.738 | Acc: 34.000% 
001  00254 |Loss: 1.737 | Acc: 34.000% 
001  00255 |Loss: 1.735 | Acc: 34.000% 
001  00256 |Loss: 1.734 | Acc: 34.000% 
001  00257 |Loss: 1.733 | Acc: 34.000% 
001  00258 |Loss: 1.732 | Acc: 34.000% 
001  00259 |Loss: 1.731 | Acc: 35.000% 
001  00260 |Loss: 1.730 | Acc: 35.000% 
001  00261 |Loss: 1.730 | Acc: 35.000% 
001  00262 |Loss: 1.729 | Acc: 35.000% 
001  00263 |Loss: 1.728 | Acc: 35.000% 
001  00264 |Loss: 1.728 | Acc: 35.000% 
001  00265 |Loss: 1.727 | Acc: 35.000% 
001  00266 |Loss: 1.726 | Acc: 35.000% 
001  00267 |Loss: 1.725 | Acc: 35.000% 
001  00268 |Loss: 1.724 | Acc: 35.000% 
001  00269 |Loss: 1.722 | Acc: 35.000% 
001  00270 |Loss: 1.722 | Acc: 35.000% 
001  00271 |Loss: 1.721 | Acc: 35.000% 
001  00272 |Loss: 1.719 | Acc: 35.000% 
001  00273 |Loss: 1.718 | Acc: 35.000% 
001  00274 |Loss: 1.717 | Acc: 35.000% 
001  00275 |Loss: 1.716 | Acc: 35.000% 
001  00276 |Loss: 1.715 | Acc: 35.000% 
001  00277 |Loss: 1.714 | Acc: 35.000% 
001  00278 |Loss: 1.714 | Acc: 35.000% 
001  00279 |Loss: 1.713 | Acc: 35.000% 
001  00280 |Loss: 1.713 | Acc: 35.000% 
001  00281 |Loss: 1.712 | Acc: 35.000% 
001  00282 |Loss: 1.711 | Acc: 35.000% 
001  00283 |Loss: 1.711 | Acc: 35.000% 
001  00284 |Loss: 1.710 | Acc: 35.000% 
001  00285 |Loss: 1.709 | Acc: 36.000% 
001  00286 |Loss: 1.709 | Acc: 36.000% 
001  00287 |Loss: 1.708 | Acc: 36.000% 
001  00288 |Loss: 1.708 | Acc: 36.000% 
001  00289 |Loss: 1.707 | Acc: 36.000% 
001  00290 |Loss: 1.706 | Acc: 36.000% 
001  00291 |Loss: 1.705 | Acc: 36.000% 
001  00292 |Loss: 1.704 | Acc: 36.000% 
001  00293 |Loss: 1.704 | Acc: 36.000% 
001  00294 |Loss: 1.703 | Acc: 36.000% 
001  00295 |Loss: 1.702 | Acc: 36.000% 
001  00296 |Loss: 1.701 | Acc: 36.000% 
001  00297 |Loss: 1.700 | Acc: 36.000% 
001  00298 |Loss: 1.699 | Acc: 36.000% 
001  00299 |Loss: 1.698 | Acc: 36.000% 
001  00300 |Loss: 1.696 | Acc: 36.000% 
001  00301 |Loss: 1.695 | Acc: 36.000% 
001  00302 |Loss: 1.694 | Acc: 36.000% 
001  00303 |Loss: 1.693 | Acc: 36.000% 
001  00304 |Loss: 1.692 | Acc: 36.000% 
001  00305 |Loss: 1.691 | Acc: 36.000% 
001  00306 |Loss: 1.690 | Acc: 36.000% 
001  00307 |Loss: 1.688 | Acc: 36.000% 
001  00308 |Loss: 1.687 | Acc: 36.000% 
001  00309 |Loss: 1.686 | Acc: 36.000% 
001  00310 |Loss: 1.686 | Acc: 36.000% 
001  00311 |Loss: 1.685 | Acc: 36.000% 
001  00312 |Loss: 1.683 | Acc: 37.000% 
001  00313 |Loss: 1.683 | Acc: 37.000% 
001  00314 |Loss: 1.682 | Acc: 37.000% 
001  00315 |Loss: 1.681 | Acc: 37.000% 
001  00316 |Loss: 1.680 | Acc: 37.000% 
001  00317 |Loss: 1.679 | Acc: 37.000% 
001  00318 |Loss: 1.679 | Acc: 37.000% 
001  00319 |Loss: 1.678 | Acc: 37.000% 
001  00320 |Loss: 1.677 | Acc: 37.000% 
001  00321 |Loss: 1.676 | Acc: 37.000% 
001  00322 |Loss: 1.675 | Acc: 37.000% 
001  00323 |Loss: 1.674 | Acc: 37.000% 
001  00324 |Loss: 1.674 | Acc: 37.000% 
001  00325 |Loss: 1.673 | Acc: 37.000% 
001  00326 |Loss: 1.672 | Acc: 37.000% 
001  00327 |Loss: 1.671 | Acc: 37.000% 
001  00328 |Loss: 1.670 | Acc: 37.000% 
001  00329 |Loss: 1.670 | Acc: 37.000% 
001  00330 |Loss: 1.669 | Acc: 37.000% 
001  00331 |Loss: 1.668 | Acc: 37.000% 
